Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,0,..,7,8.26,11,13.5,16.8,17.6,18.4,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,0,0.114097,54.3,56.9,59.6,62.4,65.4,68.5504,72.2377,79.3237,82.6137,83.1356
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,0,0.491706,29.5,38.2,42.9455,47.6911,49.0385,58.9776,60.6534,66.2356,71.2432,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,0,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,0,10.5388,86.1,87.9,89.7,91.5675,..,90.7187,93.2056,93.8975,94.4855,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,0,0.105046,21.3623,22,23.2,26,29,32.1294,36.6347,37.8067,39.2935,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,0,6.48223,67.78,70,73,76.2,79.6,83.2,86.8837,87.074,91.4123,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,0,7.03868,64.7,68.0431,70.969,74.2949,77.7,79.947,85.5144,87.1507,88.3754,89.229
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,0,1.30047,54.6228,59.1008,64.346,64.7449,68.2451,66.5439,76.5077,78.6123,77.0277,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,0,15.4428,83.78,88.6612,93.5425,97.17,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,0.585094712,46.7561,84,84.5605,86.54,86.545,90,93.6099,94.6935,94.9886,94.8762,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,0.130369377,33.7301,80.9958,83.9401,84.3237,87.9356,87.4791,87.7522,87.5294,92.5292,93.6141,95.3347
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,0,0.147758,75,77,78.2,79,79.8,81.1,84.6,86,88,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas, The",BHS,0,8,76.92,78,80,80.6,83,90.6933,92.4437,93.7667,94.4117,..
